创建时间,收货省,订单号,订单量,总量
2019/5/2 13:51,湖北省,DD1556670382539,1960,1960
2019/5/2 16:42,江苏省,DD1556670686389,4420,200
2019/5/2 16:42,江苏省,DD1556670686389,4420,2000
2019/5/2 16:42,江苏省,DD1556670686389,4420,300
2019/5/2 16:42,江苏省,DD1556670686389,4420,600
2019/5/2 16:42,江苏省,DD1556670686389,4420,600
2019/5/2 16:42,江苏省,DD1556670686389,4420,720
2019/5/2 10:00,上海市,DD1556670987496,25460,12000
2019/5/2 10:00,上海市,DD1556670987496,25460,2400
2019/5/2 10:00,上海市,DD1556670987496,25460,60
2019/5/2 10:00,上海市,DD1556670987496,25460,1000
2019/5/2 10:00,上海市,DD1556670987496,25460,10000
2019/5/1 9:51,辽宁省,DD1556670987498,2175,120
2019/5/1 9:51,辽宁省,DD1556670987498,2175,120
2019/5/1 9:51,辽宁省,DD1556670987498,2175,500
2019/5/1 9:51,辽宁省,DD1556670987498,2175,500
2019/5/1 9:51,辽宁省,DD1556670987498,2175,120
2019/5/1 9:51,辽宁省,DD1556670987498,2175,100
2019/5/1 9:51,辽宁省,DD1556670987498,2175,240
2019/5/1 9:51,辽宁省,DD1556670987498,2175,475
2019/5/1 10:32,河南省,DD1556671288159,290,180
2019/5/1 10:32,河南省,DD1556671288159,290,60
2019/5/1 10:32,河南省,DD1556671288159,290,50
2019/5/3 16:52,重庆市,DD1556671589942,10080,10080
2019/5/2 7:59,上海市,DD1556671589938,30000,30000
2019/5/1 15:13,四川省,DD1556671890449,2804,504
2019/5/1 15:13,四川省,DD1556671890449,2804,800
2019/5/1 15:13,四川省,DD1556671890449,2804,1500
2019/5/2 13:11,江苏省,DD1556671890447,1000,1000
2019/5/3 7:59,陕西省,DD1556672191563,20000,20000
2019/5/3 8:09,北京市,DD1556672493668,21930,6000
2019/5/3 8:09,北京市,DD1556672493668,21930,1200
2019/5/3 8:09,北京市,DD1556672493668,21930,1200
2019/5/3 8:09,北京市,DD1556672493668,21930,6000
2019/5/3 8:09,北京市,DD1556672493668,21930,60
2019/5/3 8:09,北京市,DD1556672493668,21930,1200
2019/5/3 8:09,北京市,DD1556672493668,21930,1200
2019/5/3 8:09,北京市,DD1556672493668,21930,70
2019/5/3 8:09,北京市,DD1556672493668,21930,5000
2019/5/2 16:42,北京市,DD1556672493670,10600,2000
2019/5/2 16:42,北京市,DD1556672493670,10600,1000
2019/5/2 16:42,北京市,DD1556672493670,10600,2000
2019/5/2 16:42,北京市,DD1556672493670,10600,500
2019/5/2 16:42,北京市,DD1556672493670,10600,5000
2019/5/2 16:42,北京市,DD1556672493670,10600,100
2019/5/3 8:09,浙江省,DD1556672795584,10466,2400
2019/5/3 8:09,浙江省,DD1556672795584,10466,30
2019/5/3 8:09,浙江省,DD1556672795584,10466,2400
2019/5/3 8:09,浙江省,DD1556672795584,10466,2000
2019/5/3 8:09,浙江省,DD1556672795584,10466,3600
2019/5/3 8:09,浙江省,DD1556672795584,10466,36
2019/5/3 8:49,江苏省,DD1556672795587,10160,100
2019/5/3 8:49,江苏省,DD1556672795587,10160,60
2019/5/3 8:49,江苏省,DD1556672795587,10160,10000
2019/5/3 8:39,江苏省,DD1556672795591,7000,7000
2019/5/3 8:39,江苏省,DD1556673097082,15000,15000
2019/5/2 9:39,江苏省,DD1556673097080,15000,15000
2019/5/3 9:09,上海市,DD1556673398379,10000,10000
2019/5/3 9:09,上海市,DD1556673398381,20000,20000
2019/5/3 8:29,江苏省,DD1556673398377,25266,30
2019/5/3 8:29,江苏省,DD1556673398377,25266,1000
2019/5/3 8:29,江苏省,DD1556673398377,25266,2000
2019/5/3 8:29,江苏省,DD1556673398377,25266,1200
2019/5/3 8:29,江苏省,DD1556673398377,25266,36
2019/5/3 8:29,江苏省,DD1556673398377,25266,20000
2019/5/3 8:29,江苏省,DD1556673398377,25266,1000
2019/5/2 9:29,山西省,DD1556673699536,1008,1008
2019/5/1 11:02,江苏省,DD1556673699532,7100,3000
2019/5/1 11:02,江苏省,DD1556673699532,7100,1000
2019/5/1 11:02,江苏省,DD1556673699532,7100,1000
2019/5/1 11:02,江苏省,DD1556673699532,7100,600
2019/5/1 11:02,江苏省,DD1556673699532,7100,1500
2019/5/2 16:32,上海市,DD1556673699534,20000,20000
2019/5/3 8:09,北京市,DD1556673699538,2500,2500
2019/5/3 8:29,江苏省,DD1556673699540,25000,25000
2019/5/3 8:39,北京市,DD1556675809396,21626,6000
2019/5/3 8:39,北京市,DD1556675809396,21626,3600
2019/5/3 8:39,北京市,DD1556675809396,21626,1008
2019/5/3 8:39,北京市,DD1556675809396,21626,1000
2019/5/3 8:39,北京市,DD1556675809396,21626,1900
2019/5/3 8:39,北京市,DD1556675809396,21626,2000
2019/5/3 8:39,北京市,DD1556675809396,21626,70
2019/5/3 8:39,北京市,DD1556675809396,21626,48
2019/5/3 8:39,北京市,DD1556675809396,21626,6000
2019/5/2 9:39,陕西省,DD1556676412624,18000,18000
2019/5/2 14:41,陕西省,DD1556676412628,12000,12000
2019/5/1 15:23,河南省,DD1556676412630,4000,4000
2019/5/1 15:23,河南省,DD1556676412626,2200,1200
2019/5/1 15:23,河南省,DD1556676412626,2200,1000
2019/5/3 8:59,河南省,DD1556676713328,15160,2400
2019/5/3 8:59,河南省,DD1556676713328,15160,5000
2019/5/3 8:59,河南省,DD1556676713328,15160,60
2019/5/3 8:59,河南省,DD1556676713328,15160,100
2019/5/3 8:59,河南省,DD1556676713328,15160,7000
2019/5/3 8:59,河南省,DD1556676713328,15160,600
2019/5/2 9:29,重庆市,DD1556677014655,20960,7000
2019/5/2 9:29,重庆市,DD1556677014655,20960,2400
2019/5/2 9:29,重庆市,DD1556677014655,20960,2400
2019/5/2 9:29,重庆市,DD1556677014655,20960,1000
2019/5/2 9:29,重庆市,DD1556677014655,20960,300
2019/5/2 9:29,重庆市,DD1556677014655,20960,2400
2019/5/2 9:29,重庆市,DD1556677014655,20960,3000
2019/5/2 9:29,重庆市,DD1556677014655,20960,2400
2019/5/2 9:29,重庆市,DD1556677014655,20960,60
2019/5/3 8:29,江苏省,DD1556677316540,7008,5004
2019/5/3 8:29,江苏省,DD1556677316540,7008,2004
2019/5/3 10:00,重庆市,DD1556677918805,30950,2400
2019/5/3 10:00,重庆市,DD1556677918805,30950,2000
2019/5/3 10:00,重庆市,DD1556677918805,30950,5000
2019/5/3 10:00,重庆市,DD1556677918805,30950,2400
2019/5/3 10:00,重庆市,DD1556677918805,30950,4800
2019/5/3 10:00,重庆市,DD1556677918805,30950,4750
2019/5/3 10:00,重庆市,DD1556677918805,30950,6000
2019/5/3 10:00,重庆市,DD1556677918805,30950,600
2019/5/3 10:00,重庆市,DD1556677918805,30950,1000
2019/5/3 10:00,重庆市,DD1556677918805,30950,2000
2019/5/3 8:49,青海省,DD1556677918801,9360,60
2019/5/3 8:49,青海省,DD1556677918801,9360,3000
2019/5/3 8:49,青海省,DD1556677918801,9360,600
2019/5/3 8:49,青海省,DD1556677918801,9360,3000
2019/5/3 8:49,青海省,DD1556677918801,9360,1000
2019/5/3 8:49,青海省,DD1556677918801,9360,100
2019/5/3 8:49,青海省,DD1556677918801,9360,600
2019/5/3 8:49,青海省,DD1556677918801,9360,1000
2019/5/2 10:10,江苏省,DD1556677918803,15654,2000
2019/5/2 10:10,江苏省,DD1556677918803,15654,134
2019/5/2 10:10,江苏省,DD1556677918803,15654,2000
2019/5/2 10:10,江苏省,DD1556677918803,15654,120
2019/5/2 10:10,江苏省,DD1556677918803,15654,600
2019/5/2 10:10,江苏省,DD1556677918803,15654,400
2019/5/2 10:10,江苏省,DD1556677918803,15654,10000
2019/5/2 10:10,江苏省,DD1556677918803,15654,300
2019/5/2 10:10,江苏省,DD1556677918803,15654,100
2019/5/3 15:01,山东省,DD1556677918807,10000,10000
2019/5/3 10:10,山东省,DD1556677918809,6000,6000
2019/5/3 8:49,北京市,DD1556677918798,21795,1200
2019/5/3 8:49,北京市,DD1556677918798,21795,3000
2019/5/3 8:49,北京市,DD1556677918798,21795,2000
2019/5/3 8:49,北京市,DD1556677918798,21795,600
2019/5/3 8:49,北京市,DD1556677918798,21795,600
2019/5/3 8:49,北京市,DD1556677918798,21795,200
2019/5/3 8:49,北京市,DD1556677918798,21795,2400
2019/5/3 8:49,北京市,DD1556677918798,21795,950
2019/5/3 8:49,北京市,DD1556677918798,21795,1425
2019/5/3 8:49,北京市,DD1556677918798,21795,2400
2019/5/3 8:49,北京市,DD1556677918798,21795,1960
2019/5/3 8:49,北京市,DD1556677918798,21795,360
2019/5/3 8:49,北京市,DD1556677918798,21795,1200
2019/5/3 8:49,北京市,DD1556677918798,21795,1200
2019/5/3 8:49,北京市,DD1556677918798,21795,360
2019/5/3 8:49,北京市,DD1556677918798,21795,1200
2019/5/3 8:49,北京市,DD1556677918798,21795,500
2019/5/3 8:49,北京市,DD1556677918798,21795,240
2019/5/2 8:09,江苏省,DD1556678219985,3920,1500
2019/5/2 8:09,江苏省,DD1556678219985,3920,200
2019/5/2 8:09,江苏省,DD1556678219985,3920,1000
2019/5/2 8:09,江苏省,DD1556678219985,3920,500
2019/5/2 8:09,江苏省,DD1556678219985,3920,120
2019/5/2 8:09,江苏省,DD1556678219985,3920,600
2019/5/3 8:19,北京市,DD1556678522229,24134,1000
2019/5/3 8:19,北京市,DD1556678522229,24134,10000
2019/5/3 8:19,北京市,DD1556678522229,24134,70
2019/5/3 8:19,北京市,DD1556678522229,24134,2000
2019/5/3 8:19,北京市,DD1556678522229,24134,1200
2019/5/3 8:19,北京市,DD1556678522229,24134,60
